name,state_abbr,lat,long,pop_estimate_2022,county_fips,division,full_name,place_fips,sum_lev,lsadc,display_name,address,url
"Altamonte Springs","FL","28.6610215","-81.3946805","46231","","5","Altamonte Springs city","950","160","25","City of Altamonte Springs","201-211 Newburyport Ave, Altamonte Springs, FL 32701, USA","http://www.altamonte.org/"
"Alton","IL","38.9038978","-90.1512038","25676","","3","Alton city","1114","160","25","City of Alton","101 E 3rd St, Alton, IL 62002, USA","https://www.cityofaltonil.gov/"
"Altoona","IA","41.6463533","-93.4786108","19565","","4","Altoona city","1630","160","25","City of Altoona","900 Venbury Dr Suite A, Altoona, IA 50009, USA","https://www.altoona-iowa.com/"
"Altoona","PA","40.5080517","-78.4011136","43963","","2","Altoona city","2184","160","25","City of Altoona","1301 12th St, Altoona, PA 16601, USA","http://www.altoonapa.gov/"
"Alton","TX","26.288775","-98.3105809","18198","","7","Alton city","2212","160","25","City of Alton","509 S Alton Blvd, Alton, TX 78573, USA","https://www.alton-tx.gov/"
"Altus","OK","34.6570606","-99.3090458","18729","","7","Altus city","1700","160","25","City of Altus","509 S Main St, Altus, OK 73521, USA","https://www.altusok.gov/"
"Alvin","TX","29.424772","-95.2244323","27098","","7","Alvin city","2272","160","25","City of Alvin","216 W Sealy St, Alvin, TX 77511, USA","http://www.alvin-tx.gov/"
"Amarillo","TX","35.1989213","-101.8316473","200393","","7","Amarillo city","3000","160","25","City of Amarillo","601 S Buchanan St, Amarillo, TX 79101, USA","https://www.amarillo.gov"
"Amelia","VA","37.3319271","-77.9774619","13265","7","5","Amelia County","","50","06","Amelia County","16360 Dunn Rd # 103, Amelia Court House, VA 23002, USA","https://www.ameliacova.com/"
"American Canyon","CA","38.1790331","-122.2596023","21837","","9","American Canyon city","1640","160","25","City of American Canyon","4381 Broadway, American Canyon, CA 94503, USA","https://www.americancanyon.gov"
"American Fork","UT","40.3778768","-111.7950737","33337","","8","American Fork city","1310","160","25","City of American Fork","31 Church St, American Fork, UT 84003, USA","https://www.americanfork.gov/"
"Ames","IA","42.025281","-93.6210872","66427","","4","Ames city","1855","160","25","City of Ames","515 Clark Ave, Ames, IA 50010, USA","http://www.cityofames.org/"
"Amesbury Town","MA","42.8512771","-70.9557921","17366","","1","Amesbury Town city","1260","160","25","City of Amesbury Town","62 Friend St, Amesbury, MA 01913, USA","https://www.amesburyma.gov/"
"Amherst","OH","41.4053292","-82.2317251","12681","","3","Amherst city","1798","160","25","City of Amherst","206 S Main St, Amherst, OH 44001, USA","https://amherstohio.org/"
"Amherst","VA","37.6293036","-79.1546672","31307","9","5","Amherst County","","50","06","Amherst County","153 Washington St, Amherst, VA 24521, USA","http://www.countyofamherst.com"
"Amherst Town","MA","42.3635343","-72.5072913","39263","","1","Amherst Town city","1370","160","25","Town of Amherst (historical)","4 Boltwood Ave, Amherst, MA 01002, USA","https://www.amherstma.gov/"
"Amsterdam","NY","42.9416277","-74.1905662","18219","","2","Amsterdam city","2066","160","25","City of Amsterdam","61 Church St, Amsterdam, NY 12010, USA","https://www.amsterdamny.gov/"
"Anaheim","CA","33.8555018","-117.7586572","346824","","9","Anaheim city","2000","160","25","City of Anaheim","200 S Anaheim Blvd, Anaheim, CA 92805, USA","http://www.anaheim.net/"
"Anacortes","WA","48.4887249","-122.62398","17637","","9","Anacortes city","1990","160","25","City of Anacortes","904 6th St, Anacortes, WA 98221, USA","https://www.cityofanacortes.org/"
"Andalusia","AL","31.3094363","-86.4780311","8805","","6","Andalusia city","1708","160","25","City of Andalusia","505 E 3 Notch St, Andalusia, AL 36420, USA","http://cityofandalusia.com"
"Anderson","CA","40.4497548","-122.2950698","11323","","9","Anderson city","2042","160","25","City of Anderson","1887 Howard St, Anderson, CA 96007, USA","https://ci.anderson.ca.us/"
"Anderson","IN","40.0897656","-85.6894485","54788","","3","Anderson city","1468","160","25","City of Anderson","120 E 8th St, Anderson, IN 46016, USA","http://www.cityofanderson.com/"
"Anderson","SC","34.5211663","-82.6473257","28106","","5","Anderson city","1360","160","25","City of Anderson","401 S Main St, Anderson, SC 29624, USA","http://www.cityofandersonsc.com/"
"Anchorage","AK","61.1742503","-149.2843294","291247","","9","Anchorage municipality","3000","160","37","Municipality of Anchorage","632 W 6th Ave, Anchorage, AK 99501, USA","http://www.muni.org/"
"Andover","KS","37.6871655","-97.1307531","14892","","4","Andover city","1800","160","25","City of Andover","1609 E Central Ave, Andover, KS 67002, USA","https://www.andoverks.gov"
"Andrews","TX","32.3213357","-102.5518463","13487","","7","Andrews city","3216","160","25","City of Andrews","111 Logsdon St, Andrews, TX 79714, USA","https://www.cityofandrews.org/"
"Anderson","SC","34.521235","-82.6386029","203718","7","5","Anderson County","","50","06","Anderson County","2404 N Main St, Anderson, SC 29621, USA","http://www.andersoncountysc.org/"
"Angleton","TX","29.1717742","-95.4293113","19429","","7","Angleton city","3264","160","25","City of Angleton","121 S Velasco St, Angleton, TX 77515, USA","https://www.angleton.tx.us/"
"Ankeny","IA","41.728724","-93.6025211","67887","","4","Ankeny city","2305","160","25","City of Ankeny","410 W 1st St, Ankeny, IA 50023, USA","http://www.ankenyiowa.gov"
"Ann Arbor","MI","42.2761471","-83.7308596","123851","","3","Ann Arbor city","3000","160","25","City of Ann Arbor","301 E Huron St, Ann Arbor, MI 48104, USA","https://www.a2gov.org"
"Anniston","AL","33.6734685","-85.8108912","21564","","6","Anniston city","1852","160","25","City of Anniston","4309 McClellan Blvd, Anniston, AL 36201, USA","https://www.annistonal.gov/"
"Anne Arundel","MD","38.9916174","-76.5608941","588261","3","5","Anne Arundel County","","50","06","Anne Arundel County","2660 Riva Dr # 3, Annapolis, MD 21401, USA","http://www.aacounty.org/"
"Appomattox","VA","37.3707253","-78.8109404","16119","11","5","Appomattox County","","50","06","Appomattox County","153 Morton Ln, Appomattox, VA 24522, USA","https://www.appomattoxcountyva.gov/"
"Arab","AL","34.3323868","-86.5011665","8461","","6","Arab city","2116","160","25","City of Arab","740 N Main St, Arab, AL 35016, USA","https://www.arabcity.org"
"Ardmore","AL","34.9878376","-86.8290225","1321","","6","Ardmore town","02260","160","43","Town of Ardmore","26494 1st St, Ardmore, AL 35739, USA","http://www.townofardmorealabama.com"
"Argo","AL","33.6910177","-86.5052809","4368","","6","Argo town","02320","160","43","Town of Argo","100 Blackjack Rd, Trussville, AL 35173, USA",""
"Arizona","AZ","34.2039362","-111.6063449","7151502","","8","Arizona","","40","00","Arizona","","https://az.gov"
"Arlington","VA","38.8783374","-77.1007034","238643","13","5","Arlington County","","50","06","Arlington County","2100 Clarendon Blvd, Arlington, VA 22201, USA","https://www.arlingtonva.us"
"Ashford","AL","31.1852844","-85.2362356","2246","","6","Ashford town","02836","160","43","Town of Ashford","525 N Broadway St, Ashford, AL 36312, USA",""
"Asheville","NC","35.5709722","-82.5527255","94589","","5","Asheville city","2140","160","25","City of Asheville","","https://www.ashevillenc.gov"
"Ashland","AL","33.2698922","-85.8337064","1984","","6","Ashland town","02860","160","43","Town of Ashland","83183 AL-9, Ashland, AL 36251, USA",""
"Ashland","VA","37.760417","-77.4724138","7565","","5","Ashland town","03368","160","43","Town of Ashland","121 Thompson St, Ashland, VA 23005, USA","https://www.ashlandva.gov"
"Ashville","AL","33.8351967","-86.2700148","2346","","6","Ashville city","2908","160","25","City of Ashville","211 8th St, Ashville, AL 35953, USA","http://www.cityofashville.org"
"Athens","AL","34.7790209","-86.9507986","25406","","6","Athens city","2956","160","25","City of Athens","200 W Hobbs St, Athens, AL 35611, USA","https://athensalabama.us/"
"Atlanta","GA","33.7629088","-84.4226745","498715","","5","Atlanta city","4000","160","25","City of Atlanta","55 Trinity Ave SW, Atlanta, GA 30303, USA","http://www.atlantaga.gov/"
